127.0.0.1 - - [03/Mar/2022:09:29:12 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:09 +0900] "GET /mvcpro/lecture/aa.css HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:10 +0900] "GET /mvcpro/member/main.do HTTP/1.1" 200 2340
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:10 +0900] "GET /mvcpro/member/aa.css HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:10 +0900] "GET /mvcpro/imgs/javajava.png HTTP/1.1" 200 447788
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:11 +0900] "GET /mvcpro/review/list.do HTTP/1.1" 200 5011
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:11 +0900] "GET /mvcpro/imgs/level.gif HTTP/1.1" 200 833
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:11 +0900] "GET /mvcpro/review/aa.css HTTP/1.1" 200 1570
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:04:15 +0900] "GET /mvcpro/review/writeForm.do HTTP/1.1" 200 5151
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:11 +0900] "POST /mvcpro/review/writePro.do HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:11 +0900] "GET /mvcpro/review/list.do HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:50 +0900] "GET /mvcpro/review/list.do HTTP/1.1" 200 5576
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:52 +0900] "GET /mvcpro/review/writeForm.do HTTP/1.1" 200 5152
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:58 +0900] "POST /mvcpro/review/writePro.do HTTP/1.1" 200 2084
0:0:0:0:0:0:0:1 - - [03/Mar/2022:11:07:58 +0900] "GET /mvcpro/review/list.do HTTP/1.1" 200 6149
184.105.247.252 - - [03/Mar/2022:16:54:45 +0900] "-" 400 -
